Type,Region,Name,Price(USD),Variant Price,Code,GBs,Validity(Days),Slug,Coverage,ID,Billing starts,Pre-Install Days,Speed,Support TopUp Type,Breakout IP
Multi-Area,Global (120+ areas),Global (120+ areas) 1GB 7Days,$4.60,$9.20,GL-120,1,7,GL-120_1_7,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",PHS30M6EZ,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Single,Albania,Albania 100MB 7Days,$0.28,$0.56,AL,0,7,AL_0.1_7,AL,PFRQ8FIBC,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Albania,Albania 1GB/Day,$2.80,$5.60,AL,1,1,AL_1_Daily,AL,PT6YNFLX8,First Network Connection,180,3G/4G,Non-reloadable,
Single,Albania,Albania 2GB/Day,$5.30,$10.60,AL,2,1,AL_2_Daily,AL,PSXVB0YDP,First Network Connection,180,3G/4G,Non-reloadable,
Single,Albania,Albania 500MB/Day,$1.60,$3.20,AL,0,1,AL_0.5_Daily,AL,PP2FWWA8N,First Network Connection,180,3G/4G,Non-reloadable,
Single,Algeria,Algeria 100MB 7Days,$0.11,$0.22,DZ,0,7,DZ_0.1_7,DZ,PJVN54W3O,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Algeria,Algeria 3GB 30Days,$3.00,$6.00,DZ,3,30,DZ_3_30,DZ,PWI9OQIY7,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Argentina,Argentina 100MB 7Days,$0.46,$0.92,AR,0,7,AR_0.1_7,AR,PHDE7ZP42,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Argentina,Argentina 1GB/Day,$3.40,$6.80,AR,1,1,AR_1_Daily,AR,P0VDPD9F2,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Armenia,Armenia 100MB 7Days,$0.56,$1.12,AM,0,7,AM_0.1_7,AM,PZBBJD4HG,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Multi-Area,Asia (12 areas),Asia (12 areas) 1GB 7Days,$3.50,$7.00,AS-12,1,7,AS-12_1_7,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PMWKBKC8Q,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 3GB 15Days,$8.80,$17.60,AS-12,3,15,AS-12_3_15,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PDX275FW0,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (7 areas),Asia (7 areas)  3GB 30Days,$4.80,$9.60,AS-7,3,30,AS-7_3_30,"TH,SG,VN,PH,ID,MY,KH",P0523NZM8,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (20 areas),Asia-20 20GB 30Days,$40.00,$80.00,AS-20,20,30,AS-20_20_30,"MO,HK,IL,IN,JP,KR,CN,NZ,MY,KW,SA,AU,TH,SG,VN,PH,ID,PK,KH,LK",PALTQIBLC,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (20 areas),Asia-20 3GB 30Days,$9.20,$18.40,AS-20,3,30,AS-20_3_30,"MO,HK,IL,IN,JP,KR,CN,NZ,MY,KW,SA,AU,TH,SG,VN,PH,ID,PK,KH,LK",PTPN61LUV,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 100MB 7Days,$0.11,$0.22,AU,0,7,AU_0.1_7,AU,PGWEQ1CSB,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Azerbaijan,Azerbaijan 100MB 7Days,$0.79,$1.58,AZ,0,7,AZ_0.1_7,AZ,PLYTQ0XIR,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bolivia,Bolivia 100MB 7Days,$0.63,$1.26,BO,0,7,BO_0.1_7,BO,PWB2NZA39,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Brazil,Brazil 100MB 7Days,$0.24,$0.48,BR,0,7,BR_0.1_7,BR,PTN42GL18,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Cambodia,Cambodia 100MB 7Days,$0.26,$0.52,KH,0,7,KH_0.1_7,KH,P04JLSJF8,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Canada,Canada 100MB 7Days,$0.23,$0.46,CA,0,7,CA_0.1_7,CA,PT73ZDYVK,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Chile,Chile 100MB 7Days,$0.57,$1.14,CL,0,7,CL_0.1_7,CL,PMQYGG8GO,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,China mainland,China 1GB/Day,$0.65,$1.30,CN,1,1,CN_1_Daily,CN,P92TALXP8,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,China mainland,China 500MB/Day,$0.50,$1.00,CN,0,1,CN_0.5_Daily,CN,PZ60GWHNI,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,China mainland,China mainland 100MB 7Days,$0.10,$0.20,CN,0,7,CN_0.1_7,CN,PLSSSXN2L,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Colombia,Colombia 100MB 7Days,$0.56,$1.12,CO,0,7,CO_0.1_7,CO,PPHO2UDYS,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,BE
Single,Dominican Republic,Dominican Republic 100MB 7Days,$0.58,$1.16,DO,0,7,DO_0.1_7,DO,PSW0PJJ42,First Network Connection,180,3G,Data Reloadable for same area within validitity,HK
Single,Egypt,Egypt 100MB 7Days,$0.22,$0.44,EG,0,7,EG_0.1_7,EG,PXG3YL37H,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Egypt,Egypt 20GB 30Days,$25.00,$50.00,EG,20,30,EG_20_30,EG,PIXA8CXUL,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Egypt,Egypt 2GB/Day,$2.80,$5.60,EG,2,1,EG_2_Daily,EG,PZ23T9OT0,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Egypt,Egypt 3GB 30Days,$4.70,$9.40,EG,3,30,EG_3_30,EG,PNLOUKFKT,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,El Salvador,El Salvador 100MB 7Days,$0.57,$1.14,SV,0,7,SV_0.1_7,SV,P5LC2VD5D,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Multi-Area,Europe (30+ areas),Europe(30+ areas) 2GB/Day,$2.90,$5.80,EU-30,2,1,EU-30_2_Daily,"NO,DE,BE,FI,PT,BG,DK,LT,LU,LV,HR,UA,FR,HU,SE,SI,SK,GB,IE,EE,CH,MT,IS,IT,GR,ES,AT,CY,CZ,PL,RO,LI,NL,TR",PZ6R8ASH9,First Network Connection,180,3G/4G,Non-reloadable,UK/NO
Multi-Area,Europe (30+ areas),Europe(30+ areas) 3GB/Day,$4.40,$8.80,EU-30,3,1,EU-30_3_Daily,"NO,DE,BE,FI,PT,BG,DK,LT,LU,LV,HR,UA,FR,HU,SE,SI,SK,GB,IE,EE,CH,MT,IS,IT,GR,ES,AT,CY,CZ,PL,RO,LI,NL,TR",PE01DJZS7,First Network Connection,180,3G/4G,Non-reloadable,UK/NO
Single,Germany,Germany 1GB/Day,$0.85,$1.70,DE,1,1,DE_1_Daily,DE,PXB5F4VY4,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Multi-Area,Global (120+ areas),Global (120+ areas) 10GB 30Days,$34.00,$68.00,GL-120,10,30,GL-120_10_30,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",P34FHRF8J,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Multi-Area,Global (120+ areas),Global (120+ areas) 1GB 365Days,$7.00,$14.00,GL-120,1,365,GL-120_1_365,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",PYMC5N31Z,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Multi-Area,Global (120+ areas),Global (120+ areas) 20GB 30Days,$60.00,$120.00,GL-120,20,30,GL-120_20_30,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",PR3JZMC20,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Multi-Area,Global (120+ areas),Global (120+ areas) 20GB 90Days,$66.50,$133.00,GL-120,20,90,GL-120_20_90,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",PB83STJL6,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Multi-Area,Global (120+ areas),Global (120+ areas) 3GB 30Days,$11.40,$22.80,GL-120,3,30,GL-120_3_30,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",PW6P3DX2G,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Multi-Area,Global (120+ areas),Global (120+ areas) 5GB 30Days,$18.00,$36.00,GL-120,5,30,GL-120_5_30,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",PEW54FVD9,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Single,Guam,Guam 10GB 30Days,$23.00,$46.00,GU,10,30,GU_10_30,GU,PMYQIPASB,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Guam,Guam 1GB 7Days,$3.60,$7.20,GU,1,7,GU_1_7,GU,PNCYQZAZN,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Guam,Guam 20GB 30Days,$40.00,$80.00,GU,20,30,GU_20_30,GU,P04857JJB,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Guam,Guam 3GB 15Days,$8.90,$17.80,GU,3,15,GU_3_15,GU,PKEMRQFAC,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Guam,Guam 3GB 30Days,$9.10,$18.20,GU,3,30,GU_3_30,GU,PEOWI61PF,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Guam,Guam 5GB 30Days,$13.60,$27.20,GU,5,30,GU_5_30,GU,PIN2SHYSA,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Guatemala,Guatemala 100MB 7Days,$0.57,$1.14,GT,0,7,GT_0.1_7,GT,PAQGBYCEU,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Honduras,Honduras 100MB 7Days,$0.57,$1.14,HN,0,7,HN_0.1_7,HN,P3WDTMWGS,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Hong Kong (China),Hong Kong (China) 100MB 7Days,$0.10,$0.20,HK,0,7,HK_0.1_7,HK,P8TY7BI5M,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,
Single,Hong Kong (China),Hong Kong 10GB/Day,$4.60,$9.20,HK,10,1,HK_10_Daily,HK,PG9WP0YY6,First Network Connection,180,3G/4G/5G,Non-reloadable,
Single,Hong Kong (China),Hong Kong 3GB/Day,$2.25,$4.50,HK,3,1,HK_3_Daily,HK,PE3UHN6BJ,First Network Connection,180,3G/4G/5G,Non-reloadable,
Single,India,India 100MB 7Days,$0.28,$0.56,IN,0,7,IN_0.1_7,IN,PNJCUC29S,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Indonesia,Indonesia 100MB 7Days,$0.13,$0.26,ID,0,7,ID_0.1_7,ID,P402OGJG8,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Italy,Italy 1GB/Day,$0.85,$1.70,IT,1,1,IT_1_Daily,IT,PZARONTRP,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Jamaica,Jamaica 100MB 7Days,$0.73,$1.46,JM,0,7,JM_0.1_7,JM,PTFBO8IJH,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Jamaica,Jamaica 10GB 30Days,$50.58,$101.16,JM,10,30,JM_10_30,JM,PMB6QS4ZN,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Jamaica,Jamaica 1GB 7Days,$7.10,$14.20,JM,1,7,JM_1_7,JM,P0CM6KM7E,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Jamaica,Jamaica 20GB 30Days,$89.58,$179.16,JM,20,30,JM_20_30,JM,PLKIA6PIQ,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Jamaica,Jamaica 3GB 15Days,$17.60,$35.20,JM,3,15,JM_3_15,JM,P5KF3LWV4,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Jamaica,Jamaica 3GB 30Days,$17.90,$35.80,JM,3,30,JM_3_30,JM,PTJ9SYG69,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Jamaica,Jamaica 5GB 30Days,$26.00,$52.00,JM,5,30,JM_5_30,JM,PPDAG2ZLG,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Japan,Japan 100MB 7Days,$0.10,$0.20,JP,0,7,JP_0.1_7,JP,P6ZMSDS1G,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,JP
Single,Japan,Japan 10GB/Day,$7.30,$14.60,JP,10,1,JP_10_Daily,JP,PGURVYHQ1,First Network Connection,180,3G/4G,Non-reloadable,JP
Single,Japan,Japan 5GB/Day,$4.40,$8.80,JP,5,1,JP_5_Daily,JP,PFFM6ED75,First Network Connection,180,3G/4G,Non-reloadable,JP
Single,Jordan,Jordan 100MB 7Days,$0.18,$0.36,JO,0,7,JO_0.1_7,JO,PF8LJK42E,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Kazakhstan,Kazakhstan 100MB 7Days,$0.15,$0.30,KZ,0,7,KZ_0.1_7,KZ,PHGAWJM6O,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Kenya,Kenya 100MB 7Days,$0.70,$1.40,KE,0,7,KE_0.1_7,KE,P9A3DBLOA,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Kuwait,Kuwait 100MB 7Days,$0.28,$0.56,KW,0,7,KW_0.1_7,KW,PDM89TRPE,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Malaysia,Malaysia 100MB 7Days,$0.10,$0.20,MY,0,7,MY_0.1_7,MY,PT4RIB8UL,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Mauritius,Mauritius 1GB/Day,$4.90,$9.80,MU,1,1,MU_1_Daily,MU,PKXERFUDN,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Mauritius,Mauritius 2GB/Day,$5.40,$10.80,MU,2,1,MU_2_Daily,MU,PLHCEBQDV,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Mexico,Mexico 100MB 7Days,$0.24,$0.48,MX,0,7,MX_0.1_7,MX,PF4COP483,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Morocco,Morocco 100MB 7Days,$0.15,$0.30,MA,0,7,MA_0.1_7,MA,PNQOJTLBQ,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,BE
Single,Morocco,Morocco 10GB 30Days,$9.90,$19.80,MA,10,30,MA_10_30,MA,PO5WKZOPV,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,BE
Single,Morocco,Morocco 1GB/Day,$1.40,$2.80,MA,1,1,MA_1_Daily,MA,PKUWF7BJC,First Network Connection,180,3G/4G/5G,Non-reloadable,BE
Single,Morocco,Morocco 2GB/Day,$2.50,$5.00,MA,2,1,MA_2_Daily,MA,P33C3KC73,First Network Connection,180,3G/4G/5G,Non-reloadable,BE
Single,Morocco,Morocco 3GB 30Days,$3.80,$7.60,MA,3,30,MA_3_30,MA,PPHIWSELT,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,BE
Single,Morocco,Morocco 5GB 30Days,$5.70,$11.40,MA,5,30,MA_5_30,MA,P7BXAR31R,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,BE
Single,New Zealand,New Zealand 100MB 7Days,$0.19,$0.38,NZ,0,7,NZ_0.1_7,NZ,PLTOJ7B6Z,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Nicaragua,Nicaragua 100MB 7Days,$0.57,$1.14,NI,0,7,NI_0.1_7,NI,PUHSFBY6P,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Niger,Niger 100MB 7Days,$0.86,$1.72,NE,0,7,NE_0.1_7,NE,P8Y35DWA0,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Nigeria,Nigeria 100MB 7Days,$0.47,$0.94,NG,0,7,NG_0.1_7,NG,P0Q24KI1C,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Pakistan,Pakistan 100MB 7Days,$0.19,$0.38,PK,0,7,PK_0.1_7,PK,P96CDAE48,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Pakistan,Pakistan 3GB 30Days,$4.70,$9.40,PK,3,30,PK_3_30,PK,P70ZZFLRP,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Panama,Panama 100MB 7Days,$0.57,$1.14,PA,0,7,PA_0.1_7,PA,P76PJ8WFO,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Paraguay,Paraguay 100MB 7Days,$0.53,$1.06,PY,0,7,PY_0.1_7,PY,P0112XJDY,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Peru,Peru 100MB 7Days,$0.65,$1.30,PE,0,7,PE_0.1_7,PE,PZ5R7GI4K,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Philippines,Philippines 100MB 7Days,$0.19,$0.38,PH,0,7,PH_0.1_7,PH,PXB3QI9EJ,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Philippines,Philippines 10GB/Day,$15.00,$30.00,PH,10,1,PH_10_Daily,PH,P08FIDBBQ,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Puerto Rico,Puerto Rico 100MB 7Days,$0.38,$0.76,PR,0,7,PR_0.1_7,PR,PK5O2KUQT,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,
Single,Qatar,Qatar 100MB 7Days,$0.45,$0.90,QA,0,7,QA_0.1_7,QA,PIPAFTMRE,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,
Single,Qatar,Qatar 1GB/Day,$1.70,$3.40,QA,1,1,QA_1_Daily,QA,PMJUJWRQ8,First Network Connection,180,3G/4G/5G,Non-reloadable,
Single,Reunion,Reunion 100MB 7Days,$0.28,$0.56,RE,0,7,RE_0.1_7,RE,PN1JR359K,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Russia,Russia 100MB 7Days,$0.40,$0.80,RU,0,7,RU_0.1_7,RU,PVP4RSUMR,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Senegal,Senegal 100MB 7Days,$0.86,$1.72,SN,0,7,SN_0.1_7,SN,PBBWJ5ZI6,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Serbia,Serbia 100MB 7Days,$0.32,$0.64,RS,0,7,RS_0.1_7,RS,PHLQ4R8Z8,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Singapore,Singapore 100MB 7Days,$0.10,$0.20,SG,0,7,SG_0.1_7,SG,PS67RZTVO,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Singapore,Singapore 10GB/Day,$9.00,$18.00,SG,10,1,SG_10_Daily,SG,P3LR5JXFO,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,South Africa,South Africa 100MB 7Days,$0.68,$1.36,ZA,0,7,ZA_0.1_7,ZA,PJ91RFXJL,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,South Africa,South Africa 1GB/Day,$3.40,$6.80,ZA,1,1,ZA_1_Daily,ZA,PBSI82U47,First Network Connection,180,3G/4G,Non-reloadable,HK
Single,South Korea,South Korea 100MB 7Days,$0.10,$0.20,KR,0,7,KR_0.1_7,KR,PKLF9M3N7,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,South Korea,South Korea 10GB/Day,$8.00,$16.00,KR,10,1,KR_10_Daily,KR,P2XI9YHJG,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,South Korea,South Korea 5GB/Day,$3.90,$7.80,KR,5,1,KR_5_Daily,KR,PX9TSB16T,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Sri Lanka,Sri Lanka 100MB 7Days,$0.28,$0.56,LK,0,7,LK_0.1_7,LK,PWJT28BG0,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Sri Lanka,Sri Lanka 1GB/Day,$2.20,$4.40,LK,1,1,LK_1_Daily,LK,PB6CYXWPA,First Network Connection,180,3G/4G,Non-reloadable,
Single,Sri Lanka,Sri Lanka 2GB/Day,$3.20,$6.40,LK,2,1,LK_2_Daily,LK,PSUGO9SDM,First Network Connection,180,3G/4G,Non-reloadable,
Single,Sri Lanka,Sri Lanka 3GB 30Days,$4.90,$9.80,LK,3,30,LK_3_30,LK,PTSKLWZVK,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Sri Lanka,Sri Lanka 3GB/Day,$4.40,$8.80,LK,3,1,LK_3_Daily,LK,PGP70GWM9,First Network Connection,180,3G/4G,Non-reloadable,
Single,Sri Lanka,Sri Lanka 500MB/Day,$1.30,$2.60,LK,0,1,LK_0.5_Daily,LK,PF4K8XI0Q,First Network Connection,180,3G/4G,Non-reloadable,
Single,Sri Lanka,Sri Lanka 5GB/Day,$7.00,$14.00,LK,5,1,LK_5_Daily,LK,PWNVS0KKQ,First Network Connection,180,3G/4G,Non-reloadable,
Single,Switzerland,Switzerland 100MB 7Days,$0.10,$0.20,CH,0,7,CH_0.1_7,CH,P4PQQ616Q,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Tanzania,Tanzania 100MB 7Days,$0.68,$1.36,TZ,0,7,TZ_0.1_7,TZ,P1W5NQVN1,First Network Connection,180,3G,Data Reloadable for same area within validitity,HK
Single,Thailand,Thailand 100MB 7Days,$0.12,$0.24,TH,0,7,TH_0.1_7,TH,PQ2I5PFIT,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
